real_name,pumptotal,quinns,yanchep,whitfords,sw_flux,pf_sw_flux,tds,pf_tds,total_penalties,total_penalties_var,ei
gen=1998_member=9703_pso,-114.759094,-12.866392,-1.12420645,-19.7364895,9750.88755,0,316.451724,0,414.5559999999999,0,0
gen=1998_member=9727_pso,-114.288285,-13.2799477,-0.978568019,-18.923405,9743.36271,0,317.915143,0,415.0549,0,0
gen=1998_member=9731_pso,-113.853197,-13.9749227,-1.08586762,-18.3029794,9736.45899,0,317.369757,0,415.9308,0,0
gen=1998_member=9735_pso,-113.796994,-14.7901188,-1.05626413,-18.6176261,9732.57489,0,317.585897,0,413.8108,0,0
gen=1999_member=9880_pso,-114.247956,-15.025137,-1.11136996,-19.2223946,9735.72064,0,319.224792,0,415.15969999999993,0,0
gen=1999_member=9883_pso,-113.690687,-14.9332976,-1.17110462,-18.6299948,9731.721569999996,0,318.49078,0,414.2093,0,0
gen=1999_member=9890_pso,-115.672334,-14.2292783,-1.13343436,-19.0824501,9746.74794,0,316.673092,0,417.3091999999999,0,0
gen=2000_member=9935_pso,-114.961823,-14.4995036,-1.04209507,-19.8079809,9734.07174,0,317.489134,0,414.92709999999994,0,0
gen=2000_member=9946_pso,-114.083644,-14.8204198,-1.07036242,-19.2492298,9740.54352,0,317.236605,0,415.0856,0,0
gen=2000_member=9950_pso,-113.531404,-15.24117,-1.02353368,-18.0127053,9728.1219,0,318.940745,0,416.51829999999984,0,0
